Generation,ID,fitness,max_fitness,mean_fitness
1,1,10.0,0,0
1,2,17.200000000000003,0,0
1,3,15.900000000000004,0,0
1,4,0.0,0,0
1,5,0.0,0,0
1,6,0.0,0,0
1,7,75.10000000000001,0,0
1,8,35.8,0,0
1,9,128.9,0,0
1,10,0.0,0,0
1,11,14.800000000000002,0,0
1,12,0.0,0,0
1,13,99.6,0,0
1,14,193.70000000000005,0,0
1,15,30.599999999999998,0,0
1,16,32.5,0,0
1,17,2.6999999999999993,0,0
1,18,38.7,0,0
1,19,0.0,0,0
1,20,39.0,0,0
1,0,0,193.70000000000005,36.72500000000001
2,14,229.40000000000003,0,0
2,9,105.80000000000001,0,0
2,21,101.4,0,0
