Generation,ID,fitness,max_fitness,mean_fitness
1,1,44.300000000000004,0,0
1,2,25.000000000000004,0,0
1,3,1.0,0,0
1,4,133.20000000000002,0,0
1,5,0.0,0,0
1,6,30.400000000000006,0,0
1,7,0.0,0,0
1,8,12.3,0,0
1,9,160.10000000000005,0,0
1,10,41.599999999999994,0,0
1,0,0,160.10000000000005,44.790000000000006
2,9,184.1,0,0
2,4,149.00000000000003,0,0
2,11,10.1,0,0
2,12,144.20000000000002,0,0
2,13,135.7,0,0
2,14,194.5999999999999,0,0
2,15,130.30000000000004,0,0
2,16,151.30000000000004,0,0
2,17,0.5,0,0
2,18,0.0,0,0
2,0,0,194.5999999999999,109.98000000000002
3,14,204.3,0,0
3,9,165.59999999999997,0,0
