Generation,ID,fitness,max_fitness,mean_fitness
1,1,83.2,0,0
1,2,9.6,0,0
1,3,29.7,0,0
1,4,14.200000000000001,0,0
1,5,179.79999999999998,0,0
1,6,32.9,0,0
1,7,44.2,0,0
1,8,239.9,0,0
1,9,38.1,0,0
1,10,2.8,0,0
1,11,45.900000000000006,0,0
1,12,17.6,0,0
1,13,0.0,0,0
1,14,325.9,0,0
1,15,0.0,0,0
1,16,29.7,0,0
1,17,30.0,0,0
1,18,15.200000000000003,0,0
1,19,41.9,0,0
1,20,0.0,0,0
1,0,0,325.9,59.03000000000001
2,14,765.6999999999996,0,0
2,8,89.2,0,0
2,21,41.7,0,0
2,22,17.799999999999997,0,0
2,23,8.6,0,0
2,24,31.9,0,0
2,25,36.79999999999999,0,0
2,26,46.6,0,0
2,27,37.1,0,0
2,28,39.199999999999996,0,0
2,29,215.99999999999997,0,0
2,30,114.99999999999997,0,0
2,31,220.99999999999997,0,0
2,32,39.3,0,0
2,33,0.0,0,0
2,34,0.0,0,0
2,35,14.3,0,0
2,36,28.899999999999995,0,0
2,37,98.80000000000001,0,0
2,38,30.6,0,0
2,0,0,765.6999999999996,93.92499999999997
3,14,319.5,0,0
3,31,305.50000000000006,0,0
3,39,0.0,0,0
3,40,36.39999999999999,0,0
3,41,35.4,0,0
3,42,18.099999999999998,0,0
3,43,18.8,0,0
3,44,38.3,0,0
3,45,5.3999999999999995,0,0
3,46,6.5,0,0
3,47,0.0,0,0
3,48,28.7,0,0
3,49,33.7,0,0
3,50,32.80000000000001,0,0
3,51,26.2,0,0
3,52,13.6,0,0
3,53,408.3999999999999,0,0
3,54,40.6,0,0
3,55,50.9,0,0
3,56,0.0,0,0
3,0,0,408.3999999999999,70.94
4,53,331.2,0,0
4,14,330.29999999999995,0,0
4,57,41.49999999999999,0,0
4,58,33.9,0,0
4,59,4.8,0,0
4,60,205.2,0,0
4,61,353.00000000000017,0,0
4,62,224.40000000000006,0,0
4,63,43.1,0,0
4,64,42.49999999999999,0,0
4,65,28.4,0,0
4,66,42.29999999999999,0,0
4,67,28.899999999999995,0,0
4,68,0.0,0,0
4,69,178.20000000000005,0,0
4,70,33.4,0,0
4,71,24.299999999999997,0,0
