Generation,ID,fitness,max Fitness,mean fitness,,,,,,,
9,68,89.4,0,0,,,,,,,
,,,,,,,,,,,
9,69,158.7,0,0,,,,,,,
,,,,,,,,,,,
9,70,218.4,0,0,,,,,,,
,,,,,,,,,,,
9,71,147,0,0,,,,,,,
,,,,,,,,,,,
9,72,185,0,0,,,,,,,
,,,,,,,,,,,
9,73,202,0,0,,,,,,,
,,,,,,,,,,,
9,74,4.3,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,445.9,156.69,,,,,,,
,,,,,,,,,,,
10,63,476.3,0,0,,,,,,,
,,,,,,,,,,,
10,70,97.7,0,0,,,,,,,
,,,,,,,,,,,
10,75,128.6,0,0,,,,,,,
,,,,,,,,,,,
10,76,410.2,0,0,,,,,,,
,,,,,,,,,,,
10,77,52.9,0,0,,,,,,,
,,,,,,,,,,,
10,78,9.3,0,0,,,,,,,
,,,,,,,,,,,
10,79,133.8,0,0,,,,,,,
,,,,,,,,,,,
10,80,162.4,0,0,,,,,,,
,,,,,,,,,,,
10,81,57,0,0,,,,,,,
,,,,,,,,,,,
10,82,137.9,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,476.3,166.61,,,,,,,
,,,,,,,,,,,
11,63,448.1,0,0,,,,,,,
,,,,,,,,,,,
11,76,419.4,0,0,,,,,,,
,,,,,,,,,,,
11,83,346.4,0,0,,,,,,,
,,,,,,,,,,,
11,84,321.1,0,0,,,,,,,
,,,,,,,,,,,
11,85,622.7,0,0,,,,,,,
,,,,,,,,,,,
11,86,76.8,0,0,,,,,,,
,,,,,,,,,,,
11,87,136.5,0,0,,,,,,,
,,,,,,,,,,,
11,88,236.5,0,0,,,,,,,
,,,,,,,,,,,
11,89,329.5,0,0,,,,,,,
,,,,,,,,,,,
11,90,413.7,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,622.7,335.07,,,,,,,
,,,,,,,,,,,
12,85,403,0,0,,,,,,,
,,,,,,,,,,,
12,63,446.6,0,0,,,,,,,
,,,,,,,,,,,
12,91,403.4,0,0,,,,,,,
,,,,,,,,,,,
12,92,418.2,0,0,,,,,,,
,,,,,,,,,,,
12,93,446.4,0,0,,,,,,,
,,,,,,,,,,,
12,94,182.7,0,0,,,,,,,
,,,,,,,,,,,
12,95,518.6,0,0,,,,,,,
