Generation,ID,fitness,max Fitness,mean fitness
1,1,0.8,0,0
1,2,0.9,0,0
1,3,67.8,0,0
1,4,43.3,0,0
1,5,0.0,0,0
1,6,31.3,0,0
1,7,56.400000000000006,0,0
1,8,0.0,0,0
1,9,0.5,0,0
1,10,0.0,0,0
1,0,0,67.8,20.1
2,3,60.59999999999999,0,0
2,7,48.7,0,0
2,11,48.40000000000001,0,0
2,12,60.199999999999996,0,0
2,13,35.9,0,0
2,14,58.800000000000004,0,0
2,15,63.50000000000001,0,0
2,16,59.1,0,0
2,17,63.00000000000001,0,0
2,18,330.7,0,0
2,0,0,330.7,82.89
3,18,167.6,0,0
3,15,66.9,0,0
3,19,9.7,0,0
3,20,0.7000000000000006,0,0
3,21,54.099999999999994,0,0
3,22,59.6,0,0
3,23,342.2000000000001,0,0
3,24,67.60000000000001,0,0
3,25,40.60000000000001,0,0
3,26,0.0,0,0
3,0,0,342.2000000000001,80.90000000000002
4,23,218.2,0,0
4,18,158.59999999999994,0,0
4,27,38.30000000000001,0,0
4,28,0.8,0,0
4,29,261.1,0,0
4,30,48.8,0,0
4,31,50.4,0,0
4,32,0.5,0,0
4,33,157.4,0,0
4,34,55.000000000000014,0,0
4,0,0,261.1,98.91
5,29,258.80000000000007,0,0
5,23,177.9,0,0
5,35,389.3000000000001,0,0
5,36,26.8,0,0
5,37,0.0,0,0
5,38,58.00000000000001,0,0
5,39,0.8,0,0
5,40,61.60000000000001,0,0
5,41,58.000000000000014,0,0
5,42,0.9,0,0
5,0,0,389.3000000000001,103.21000000000004
6,35,137.20000000000002,0,0
6,29,186.99999999999997,0,0
6,43,322.40000000000003,0,0
6,44,0.9,0,0
6,45,277.70000000000005,0,0
6,46,60.60000000000001,0,0
6,47,0.9,0,0
6,48,38.1,0,0
6,49,43.599999999999994,0,0
6,50,47.20000000000002,0,0
6,0,0,322.40000000000003,111.55999999999999
7,43,240.70000000000005,0,0
7,45,269.60000000000014,0,0
7,51,398.9000000000001,0,0
7,52,234.60000000000005,0,0
7,53,234.50000000000003,0,0
7,54,57.39999999999999,0,0
7,55,0.8,0,0
7,56,0.8,0,0
7,57,57.10000000000001,0,0
7,58,0.8,0,0
7,0,0,398.9000000000001,149.52000000000004
8,51,235.80000000000004,0,0
8,45,240.89999999999998,0,0
8,59,83.6,0,0
8,60,57.79999999999999,0,0
8,61,241.20000000000005,0,0
8,62,56.300000000000026,0,0
8,63,139.90000000000003,0,0
8,64,0.8,0,0
8,65,183.50000000000003,0,0
8,66,400.70000000000005,0,0
8,0,0,400.70000000000005,164.05
9,66,342.3999999999999,0,0
